    Survived Pclass    Sex   Age
186        1      1 female 35.00
187        0      3   male 29.00
188        0      2   male 59.00
189        1      3 female  5.00
190        0      2   male 24.00
191        0      2   male 44.00
192        1      2 female  8.00
193        0      2   male 19.00
194        0      2   male 33.00
195        0      2   male 29.00
196        0      3   male 22.00
197        0      3   male 30.00
198        0      1   male 44.00
199        0      3 female 25.00
200        1      2 female 24.00
201        1      1   male 37.00
202        0      2   male 54.00
203        0      3 female 29.00
204        0      1   male 62.00
205        0      3   male 30.00
206        0      3 female 41.00
207        1      3 female 29.00
208        1      1 female 30.00
209        1      1 female 35.00
210        1      2 female 50.00
211        1      3   male  3.00
212        0      1   male 52.00
213        0      1   male 40.00
214        0      2   male 36.00
215        0      3   male 16.00
216        1      3   male 25.00
217        1      1 female 58.00
218        1      1 female 35.00
219        1      3   male 25.00
220        1      2 female 41.00
221        0      1   male 37.00
222        1      1 female 63.00
223        0      3 female 45.00
224        0      3   male  7.00
225        1      3 female 35.00
226        0      3   male 65.00
227        0      3   male 28.00
228        0      3   male 16.00
229        1      3   male 19.00
230        0      3   male 33.00
231        1      3   male 30.00
232        0      3   male 22.00
233        1      2   male 42.00
234        1      3 female 22.00
235        1      1 female 26.00
236        1      1 female 19.00
237        0      2   male 36.00
238        0      3 female 24.00
239        0      3   male 24.00
240        0      3   male 23.50
241        0      1 female  2.00
242        1      1 female 50.00
243        0      3   male 19.00
244        1      1   male  0.92
245        1      1 female 17.00
246        0      2   male 30.00
247        1      1 female 30.00
248        1      1 female 24.00
249        1      1 female 18.00
250        0      2 female 26.00
251        0      3   male 28.00
252        0      2   male 43.00
253        1      3 female 26.00
254        1      2 female 24.00
255        0      2   male 54.00
256        1      1 female 31.00
257        1      1 female 40.00
258        0      3   male 22.00
259        0      3   male 27.00
260        1      2 female 30.00
261        1      2 female 22.00
262        1      1 female 36.00
263        0      3   male 61.00
264        1      2 female 36.00
265        1      3 female 31.00
266        1      1 female 16.00
267        0      1   male 45.50
268        0      1   male 38.00
269        0      3   male 16.00
270        0      1   male 29.00
271        1      1 female 41.00
272        1      3   male 45.00
273        0      1   male 45.00
274        1      2   male  2.00
275        1      1 female 24.00
276        0      2   male 28.00
277        0      2   male 25.00
278        0      2   male 36.00
279        1      2 female 24.00
280        1      2 female 40.00
281        1      3   male  3.00
282        0      3   male 42.00
283        0      3   male 23.00
284        0      3   male 15.00
285        0      3   male 25.00
286        0      3   male 28.00
287        1      1 female 22.00
288        0      2 female 38.00
289        0      3   male 40.00
290        0      2   male 29.00
291        0      3 female 45.00
292        0      3   male 35.00
293        0      3   male 30.00
294        1      1 female 60.00
295        1      1 female 24.00
296        1      1   male 25.00
297        0      3   male 18.00
298        0      3   male 19.00
299        0      1   male 22.00
300        0      3 female  3.00
301        1      3 female 22.00
302        0      1   male 27.00
303        0      3   male 20.00
304        0      3   male 19.00
305        1      1 female 42.00
306        1      3 female  1.00
307        0      3   male 32.00
308        1      1 female 35.00
309        0      2   male 18.00
310        0      3   male  1.00
311        1      2 female 36.00
312        1      2 female 17.00
313        1      1   male 36.00
314        1      3   male 21.00
315        0      3   male 28.00
316        1      1 female 23.00
317        1      3 female 24.00
318        0      3   male 22.00
319        0      3 female 31.00
320        0      2   male 46.00
321        0      2   male 23.00
322        1      2 female 28.00
323        1      3   male 39.00
324        0      3   male 26.00
325        0      3 female 21.00
326        0      3   male 28.00
327        0      3 female 20.00
328        0      2   male 34.00
329        0      3   male 51.00
330        1      2   male  3.00
331        0      3   male 21.00
332        1      1 female 33.00
333        1      3   male 44.00
334        1      2 female 34.00
335        1      2 female 18.00
336        0      2   male 30.00
337        0      3 female 10.00
338        0      3   male 21.00
339        0      3   male 29.00
340        0      3 female 28.00
341        0      3   male 18.00
342        1      2 female 28.00
343        1      2 female 19.00
344        1      3   male 32.00
345        1      1   male 28.00
346        1      2 female 42.00
347        0      3   male 17.00
348        0      1   male 50.00
349        1      1 female 14.00
350        0      3 female 21.00
351        1      2 female 24.00
352        0      1   male 64.00
353        0      2   male 31.00
354        1      2 female 45.00
355        0      3   male 20.00
356        0      3   male 25.00
357        1      2 female 28.00
358        1      1   male  4.00
359        1      2 female 13.00
360        1      1   male 34.00
361        1      3 female  5.00
362        1      1   male 52.00
363        0      2   male 36.00
364        0      1   male 30.00
365        1      1   male 49.00
366        1      3   male 29.00
367        0      1   male 65.00
368        1      2 female 50.00
369        1      1   male 48.00
370        0      3   male 34.00
371        0      1   male 47.00
372        0      2   male 48.00
373        0      3   male 38.00
374        0      1   male 56.00
375        1      3 female  0.75
376        0      3   male 38.00
377        1      2 female 33.00
378        1      2 female 23.00
379        0      3 female 22.00
380        0      2   male 34.00
381        0      3   male 29.00
382        0      3   male 22.00
383        1      3 female  2.00
384        0      3   male  9.00
385        0      3   male 50.00
386        1      3 female 63.00
387        1      1   male 25.00
388        1      1 female 35.00
389        0      1   male 58.00
390        0      3   male 30.00
391        1      3   male  9.00
392        0      3   male 21.00
393        0      1   male 55.00
394        0      1   male 71.00
395        0      3   male 21.00
396        1      1 female 54.00
397        0      1 female 25.00
398        0      3   male 24.00
399        0      3   male 17.00
400        0      3 female 21.00
401        0      3 female 37.00
402        1      1 female 16.00
403        0      1   male 18.00
404        1      2 female 33.00
405        0      3   male 28.00
406        1      3   male 26.00
407        1      3   male 29.00
408        1      1   male 36.00
409        1      1 female 54.00
410        0      3   male 24.00
411        0      1   male 47.00
412        1      2 female 34.00
413        1      2 female 36.00
414        0      3   male 32.00
415        1      1 female 30.00
416        0      3   male 22.00
417        1      1 female 44.00
418        0      3   male 40.50
419        1      2 female 50.00
420        0      3   male 39.00
421        0      2   male 23.00
422        1      2 female  2.00
423        0      3   male 17.00
424        0      3 female 30.00
425        1      2 female  7.00
426        0      1   male 45.00
427        1      1 female 30.00
428        1      1 female 22.00
429        1      1 female 36.00
430        0      3 female  9.00
431        0      3 female 11.00
432        1      2   male 32.00
433        0      1   male 50.00
434        0      1   male 64.00
435        1      2 female 19.00
436        0      3   male 33.00
437        1      2   male  8.00
438        1      1   male 17.00
439        0      2   male 27.00
440        1      3   male 22.00
441        1      3 female 22.00
442        0      1   male 62.00
443        1      1 female 48.00
444        1      1 female 39.00
445        1      3 female 36.00
446        0      3   male 40.00
447        0      2   male 28.00
448        0      3   male 24.00
449        0      3   male 19.00
450        0      3 female 29.00
451        1      3   male 32.00
452        1      2   male 62.00
453        1      1 female 53.00
454        1      1   male 36.00
455        0      3   male 16.00
456        0      3   male 19.00
457        1      2 female 34.00
458        1      1 female 39.00
459        1      3   male 32.00
460        1      2 female 25.00
461        1      1 female 39.00
462        0      2   male 54.00
463        0      1   male 36.00
464        1      1 female 18.00
465        0      2   male 47.00
466        1      1   male 60.00
467        0      3   male 22.00
468        0      3   male 35.00
469        1      1 female 52.00
470        0      3   male 47.00
471        0      2   male 37.00
472        0      3   male 36.00
473        0      3   male 49.00
474        1      1   male 49.00
475        1      2 female 24.00
476        0      3   male 44.00
477        1      1   male 35.00
478        0      3   male 36.00
479        0      3   male 30.00
480        1      1   male 27.00
481        1      2 female 22.00
482        1      1 female 40.00
483        0      3 female 39.00
484        0      3   male 35.00
485        1      2 female 24.00
486        0      3   male 34.00
487        0      3 female 26.00
488        1      2 female  4.00
489        0      2   male 26.00
490        0      3   male 27.00
491        1      1   male 42.00
492        1      3   male 20.00
493        0      3   male 21.00
494        0      3   male 21.00
495        0      1   male 61.00
496        0      2   male 57.00
497        1      1 female 21.00
498        0      3   male 26.00
499        1      1   male 80.00
500        0      3   male 51.00
501        1      1   male 32.00
502        0      3 female  9.00
503        1      2 female 28.00
504        0      3   male 32.00
505        0      2   male 31.00
506        0      3 female 41.00
507        0      3   male 20.00
508        1      1 female 24.00
509        0      3 female  2.00
510        1      3 female  0.75
511        1      1   male 48.00
512        0      3   male 19.00
513        1      1   male 56.00
514        1      3 female 23.00
515        1      2 female 18.00
516        0      3   male 21.00
517        0      3 female 18.00
518        0      2   male 24.00
519        0      3 female 32.00
520        0      2   male 23.00
521        0      1   male 58.00
522        1      1   male 50.00
523        0      3   male 40.00
524        0      1   male 47.00
525        0      3   male 36.00
526        1      3   male 20.00
527        0      2   male 32.00
528        0      2   male 25.00
529        0      3   male 43.00
530        1      2 female 40.00
531        0      1   male 31.00
532        0      2   male 70.00
533        1      2   male 31.00
534        0      3   male 18.00
535        0      3   male 24.50
536        1      3 female 18.00
537        0      3 female 43.00
538        1      1   male 36.00
539        1      1   male 27.00
540        0      3   male 20.00
541        0      3   male 14.00
542        0      2   male 60.00
543        0      2   male 25.00
544        0      3   male 14.00
545        0      3   male 19.00
546        0      3   male 18.00
547        1      1 female 15.00
548        1      1   male 31.00
549        1      3 female  4.00
550        0      3   male 25.00
551        0      1   male 60.00
552        0      2   male 52.00
553        0      3   male 44.00
554        0      1   male 49.00
555        0      3   male 42.00
556        1      1 female 18.00
557        1      1   male 35.00
558        0      3 female 18.00
559        0      3   male 25.00
560        0      3   male 26.00
561        0      2   male 39.00
562        1      2 female 45.00
563        1      1   male 42.00
564        1      1 female 22.00
565        1      1 female 24.00
566        1      1   male 48.00
567        0      3   male 29.00
568        0      2   male 52.00
569        0      3   male 19.00
570        1      1 female 38.00
571        1      2 female 27.00
572        0      3   male 33.00
573        1      2 female  6.00
574        0      3   male 17.00
575        0      2   male 34.00
576        0      2   male 50.00
577        1      1   male 27.00
578        0      3   male 20.00
579        1      2 female 30.00
580        0      2   male 25.00
581        0      3 female 25.00
582        1      1 female 29.00
583        0      3   male 11.00
584        0      2   male 23.00
585        0      2   male 23.00
586        0      3   male 28.50
587        0      3 female 48.00
588        1      1   male 35.00
589        0      1   male 36.00
590        1      1 female 21.00
591        0      3   male 24.00
592        1      3   male 31.00
593        0      1   male 70.00
594        0      3   male 16.00
595        1      2 female 30.00
596        0      1   male 19.00
597        0      3   male 31.00
598        1      2 female  4.00
599        1      3   male  6.00
600        0      3   male 33.00
601        0      3   male 23.00
602        1      2 female 48.00
603        1      2   male  0.67
604        0      3   male 28.00
605        0      2   male 18.00
606        0      3   male 34.00
607        1      1 female 33.00
608        0      3   male 41.00
609        1      3   male 20.00
610        1      1 female 36.00
611        0      3   male 16.00
612        1      1 female 51.00
613        0      3 female 30.50
614        0      3   male 32.00
615        0      3   male 24.00
616        0      3   male 48.00
617        0      2 female 57.00
618        1      2 female 54.00
619        0      3   male 18.00
620        1      3 female  5.00
621        1      1 female 43.00
622        1      3 female 13.00
623        1      1 female 17.00
624        0      1   male 29.00
625        0      3   male 25.00
626        0      3   male 25.00
627        1      3 female 18.00
628        0      3   male  8.00
629        1      3   male  1.00
630        0      1   male 46.00
631        0      2   male 16.00
632        0      3   male 25.00
633        0      2   male 39.00
634        1      1 female 49.00
635        1      3 female 31.00
636        0      3   male 30.00
637        0      3 female 30.00
638        0      2   male 34.00
639        1      2 female 31.00
640        1      1   male 11.00
641        1      3   male  0.42
642        1      3   male 27.00
643        0      3   male 31.00
644        0      1   male 39.00
645        0      3 female 18.00
646        0      2   male 39.00
647        1      1 female 33.00
648        0      3   male 26.00
649        0      3   male 39.00
650        0      2   male 35.00
651        0      3 female  6.00
652        0      3   male 30.50
653        0      3 female 23.00
654        0      2   male 31.00
655        0      3   male 43.00
656        0      3   male 10.00
657        1      1 female 52.00
658        1      3   male 27.00
659        0      1   male 38.00
660        1      3 female 27.00
661        0      3   male  2.00
662        1      2   male  1.00
663        1      1 female 62.00
664        1      3 female 15.00
665        1      2   male  0.83
666        0      3   male 23.00
667        0      3   male 18.00
668        1      1 female 39.00
669        0      3   male 21.00
670        1      3   male 32.00
671        0      3   male 20.00
672        0      2   male 16.00
673        1      1 female 30.00
674        0      3   male 34.50
675        0      3   male 17.00
676        0      3   male 42.00
677        0      3   male 35.00
678        0      2   male 28.00
679        0      3   male  4.00
680        0      3   male 74.00
681        0      3 female  9.00
682        1      1 female 16.00
683        0      2 female 44.00
684        1      3 female 18.00
685        1      1 female 45.00
686        1      1   male 51.00
687        1      3 female 24.00
688        0      3   male 41.00
689        0      2   male 21.00
690        1      1 female 48.00
691        0      2   male 24.00
692        1      2 female 42.00
693        1      2 female 27.00
694        0      1   male 31.00
695        1      3   male  4.00
696        0      3   male 26.00
697        1      1 female 47.00
698        0      1   male 33.00
699        0      3   male 47.00
700        1      2 female 28.00
701        1      3 female 15.00
702        0      3   male 20.00
703        0      3   male 19.00
704        1      1 female 56.00
705        1      2 female 25.00
706        0      3   male 33.00
707        0      3 female 22.00
708        0      2   male 28.00
709        0      3   male 25.00
710        0      3 female 39.00
711        0      2   male 27.00
712        1      1 female 19.00
713        1      1   male 26.00
714        0      3   male 32.00
